htsno,hs8,hs6,hs2,description,general,special,CN_subheading,CN_wave,CN_tariff
0102.29.40,01022940,010229,01,Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
,,,,Weighing less than 90 kg each:,,,,,0.0
0102.29.40.24,01022940,010229,01,Male,,,,,0.0
0102.29.40.28,01022940,010229,01,Female,,,,,0.0
,,,,Weighing 90 kg or more but less than 200 kg each:,,,,,0.0
0102.29.40.34,01022940,010229,01,Male,,,,,0.0
0102.29.40.38,01022940,010229,01,Female,,,,,0.0
,,,,Weighing 200 kg or more but less than 320 kg each:,,,,,0.0
0102.29.40.54,01022940,010229,01,Male,,,,,0.0
0102.29.40.58,01022940,010229,01,Female,,,,,0.0
,,,,Weighing 320 kg or more each:,,,,,0.0
,,,,For immediate slaughter:,,,,,0.0
0102.29.40.62,01022940,010229,01,Steers,,,,,0.0
0102.29.40.64,01022940,010229,01,Bulls,,,,,0.0
0102.29.40.66,01022940,010229,01,Cows,,,,,0.0
0102.29.40.68,01022940,010229,01,Heifers,,,,,0.0
,,,,For breeding:,,,,,0.0
0102.29.40.72,01022940,010229,01,Male,,,,,0.0
0102.29.40.74,01022940,010229,01,Female,,,,,0.0
,,,,Other:,,,,,0.0
0102.29.40.82,01022940,010229,01,Male,,,,,0.0
0102.29.40.84,01022940,010229,01,Female,,,,,0.0
,,,,Buffalo:,,,,,0.0
0102.31.00,01023100,010231,01,Purebred breeding animals,Free,,9903.88.15,List 4A,7.5
0102.31.00.10,01023100,010231,01,Male,,,,,0.0
0102.31.00.20,01023100,010231,01,Female,,,,,0.0
0102.39.00,01023900,010239,01,Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0102.39.00.10,01023900,010239,01,Bison,,,,,0.0
,,,,Other:,,,,,0.0
,,,,Weighing less than 90 kg each:,,,,,0.0
0102.39.00.24,01023900,010239,01,Male,,,,,0.0
0102.39.00.28,01023900,010239,01,Female,,,,,0.0
,,,,Weighing 90 kg or more but less than 200 kg each:,,,,,0.0
0102.39.00.34,01023900,010239,01,Male,,,,,0.0
0102.39.00.38,01023900,010239,01,Female,,,,,0.0
,,,,Weighing 200 kg or more but less than 320 kg each:,,,,,0.0
0102.39.00.54,01023900,010239,01,Male,,,,,0.0
0102.39.00.58,01023900,010239,01,Female,,,,,0.0
,,,,Weighing 320 kg or more each:,,,,,0.0
0102.39.00.61,01023900,010239,01,For immediate slaughter,,,,,0.0
,,,,For breeding:,,,,,0.0
0102.39.00.72,01023900,010239,01,Male,,,,,0.0
0102.39.00.74,01023900,010239,01,Female,,,,,0.0
,,,,Other:,,,,,0.0
0102.39.00.82,01023900,010239,01,Male,,,,,0.0
0102.39.00.84,01023900,010239,01,Female,,,,,0.0
0102.90.00.00,01029000,010290,01,Other,1¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0103,,,,Live swine:,,,,,0.0
0103.10.00.00,01031000,010310,01,Purebred breeding animals,Free,,9903.88.15,List 4A,7.5
,,,,Other:,,,,,0.0
0103.91.00,01039100,010391,01,Weighing less than 50 kg each,Free,,9903.88.15,List 4A,7.5
0103.91.00.10,01039100,010391,01,Weighing less than 7 kg each,,,,,0.0
0103.91.00.20,01039100,010391,01,Weighing 7 kg or more but less than 23 kg each,,,,,0.0
0103.91.00.30,01039100,010391,01,Weighing 23 kg or more but less than 50 kg each,,,,,0.0
0103.92.00,01039200,010392,01,Weighing 50 kg or more each,Free,,9903.88.15,List 4A,7.5
0103.92.00.10,01039200,010392,01,Imported for immediate slaughter,,,,,0.0
0103.92.00.20,01039200,010392,01,Breeding animals other than purebred breeding animals,,,,,0.0
0103.92.00.91,01039200,010392,01,Other,,,,,0.0
0104,,,,Live sheep and goats:,,,,,0.0
0104.10.00.00,01041000,010410,01,Sheep,Free,,9903.88.15,List 4A,7.5
0104.20.00.00,01042000,010420,01,Goats,68¢/head,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",9903.88.15,List 4A,7.5
0105,,,,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:",,,,,0.0
,,,,Weighing not more than 185 g:,,,,,0.0
0105.11.00,01051100,010511,01,Chickens,0.9¢ each,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM, P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
,,,,"Breeding stock, whether or not purebred:",,,,,0.0
0105.11.00.10,01051100,010511,01,Layer-type (egg-type),,,,,0.0
0105.11.00.20,01051100,010511,01,Broiler-type (meat-type),,,,,0.0
0105.11.00.40,01051100,010511,01,Other,,,,,0.0
0105.12.00.00,01051200,010512,01,Turkeys,0.9¢ each,"Free (A+,AU,BH, CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",9903.88.15,List 4A,7.5
0105.13.00.00,01051300,010513,01,Ducks,0.9¢ each,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0105.14.00.00,01051400,010514,01,Geese,0.9¢ each,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0105.15.00.00,01051500,010515,01,Guinea fowls,0.9¢ each,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
,,,,Other:,,,,,0.0
0105.94.00.00,01059400,010594,01,Chickens,2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0105.99.00.00,01059900,010599,01,Other,2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0106,,,,Other live animals:,,,,,0.0
,,,,Mammals:,,,,,0.0
0106.11.00.00,01061100,010611,01,Primates,Free,,9903.88.15,List 4A,7.5
0106.12.01.00,01061201,010612,01,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Free,,9903.88.15,List 4A,7.5
0106.13.00.00,01061300,010613,01,Camels and other camelids (Camelidae),Free,,9903.88.15,List 4A,7.5
0106.14.00.00,01061400,010614,01,Rabbits and hares,Free,,9903.88.15,List 4A,7.5
0106.19,,,,Other:,,,,,0.0
0106.19.30.00,01061930,010619,01,Foxes,4.8%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0106.19.91,01061991,010619,01,Other,Free,,9903.88.15,List 4A,7.5
0106.19.91.20,01061991,010619,01,Dogs,,,,,0.0
0106.19.91.95,01061991,010619,01,Other,,,,,0.0
0106.20.00.00,01062000,010620,01,Reptiles (including snakes and turtles),Free,,9903.88.15,List 4A,7.5
,,,,Birds:,,,,,0.0
0106.31.00.00,01063100,010631,01,Birds of prey,1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0106.32.00.00,01063200,010632,01,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0106.33.00.00,01063300,010633,01,Ostriches; emus (Dromaius novaehollandiae),1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0106.39.01.00,01063901,010639,01,Other,1.8%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
,,,,Insects:,,,,,0.0
0106.41.00.00,01064100,010641,01,Bees,Free,,9903.88.15,List 4A,7.5
0106.49.00,01064900,010649,01,Other,Free,,9903.88.15,List 4A,7.5
0106.49.00.10,01064900,010649,01,Leaf cutter bee larvae,,,,,0.0
0106.49.00.90,01064900,010649,01,Other,,,,,0.0
0106.90.01,01069001,010690,01,Other,Free,,9903.88.15,List 4A,7.5
0106.90.01.10,01069001,010690,01,Worms,,,,,0.0
0106.90.01.20,01069001,010690,01,Bait (other than worms),,,,,0.0
0106.90.01.80,01069001,010690,01,Other,,,,,0.0
0201,,,,"Meat of bovine animals, fresh or chilled:",,,,,0.0
0201.10,,,,Carcasses and half-carcasses:,,,,,0.0
0201.10.05,02011005,020110,02,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0201.10.05.10,02011005,020110,02,Veal,,,,,0.0
0201.10.05.90,02011005,020110,02,Other,,,,,0.0
0201.10.10,02011010,020110,02,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.10.10.10,02011010,020110,02,Veal,,,,,0.0
0201.10.10.90,02011010,020110,02,Other,,,,,0.0
0201.10.50,02011050,020110,02,Other ,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 5.2% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",9903.88.15,List 4A,7.5
0201.10.50.10,02011050,020110,02,Veal,,,,,0.0
0201.10.50.90,02011050,020110,02,Other,,,,,0.0
0201.20,,,,Other cuts with bone in:,,,,,0.0
,,,,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0201.20.02.00,02012002,020120,02,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0201.20.04.00,02012004,020120,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.20.06.00,02012006,020120,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",9903.88.15,List 4A,7.5
,,,,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0201.20.10.00,02012010,020120,02,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.20.30.00,02012030,020120,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.20.50,02012050,020120,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.20.50.15,02012050,020120,02,Fresh or chilled bone in veal cuts,,,,,0.0
,,,,Other:,,,,,0.0
0201.20.50.25,02012050,020120,02,Rib cuts,,,,,0.0
0201.20.50.35,02012050,020120,02,Chuck cuts,,,,,0.0
0201.20.50.45,02012050,020120,02,Loin cuts,,,,,0.0
0201.20.50.65,02012050,020120,02,Hip cuts,,,,,0.0
0201.20.50.75,02012050,020120,02,Flank or plate cuts,,,,,0.0
0201.20.50.91,02012050,020120,02,Other,,,,,0.0
0201.20.80,02012080,020120,02,Other ,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 5.2% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",9903.88.15,List 4A,7.5
0201.20.80.10,02012080,020120,02,Bison,,,,,0.0
0201.20.80.90,02012080,020120,02,Other,,,,,0.0
0201.30,,,,Boneless:,,,,,0.0
,,,,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0201.30.02.00,02013002,020130,02,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM, P,PA, PE,S,SG)",9903.88.15,List 4A,7.5
0201.30.04.00,02013004,020130,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.30.06.00,02013006,020130,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
,,,,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0201.30.10.00,02013010,020130,02,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.30.30.00,02013030,020130,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.30.50,02013050,020130,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0201.30.50.15,02013050,020130,02,Fresh or chilled boneless veal cuts,,,,,0.0
,,,,Other:,,,,,0.0
0201.30.50.25,02013050,020130,02,Rib cuts,,,,,0.0
0201.30.50.35,02013050,020130,02,Chuck cuts,,,,,0.0
0201.30.50.45,02013050,020130,02,Loin cuts,,,,,0.0
0201.30.50.55,02013050,020130,02,Brisket cuts,,,,,0.0
0201.30.50.65,02013050,020130,02,Hip cuts,,,,,0.0
0201.30.50.75,02013050,020130,02,Flank or plate cuts,,,,,0.0
0201.30.50.85,02013050,020130,02,Other,,,,,0.0
0201.30.80,02013080,020130,02,Other ,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 5.2% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",9903.88.15,List 4A,7.5
0201.30.80.10,02013080,020130,02,Bison,,,,,0.0
0201.30.80.90,02013080,020130,02,Other,,,,,0.0
0202,,,,"Meat of bovine animals, frozen:",,,,,0.0
0202.10,,,,Carcasses and half-carcasses:,,,,,0.0
0202.10.05,02021005,020210,02,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0202.10.05.10,02021005,020210,02,Veal,,,,,0.0
0202.10.05.90,02021005,020210,02,Other,,,,,0.0
0202.10.10,02021010,020210,02,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.10.10.10,02021010,020210,02,Veal,,,,,0.0
0202.10.10.90,02021010,020210,02,Other,,,,,0.0
0202.10.50,02021050,020210,02,Other ,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 5.2% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",9903.88.15,List 4A,7.5
0202.10.50.10,02021050,020210,02,Veal,,,,,0.0
0202.10.50.90,02021050,020210,02,Other,,,,,0.0
0202.20,,,,Other cuts with bone in:,,,,,0.0
,,,,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0202.20.02.00,02022002,020220,02,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0202.20.04.00,02022004,020220,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.20.06.00,02022006,020220,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
,,,,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0202.20.10.00,02022010,020220,02,High-quality beef cuts,4%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.20.30.00,02022030,020220,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.20.50,02022050,020220,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.20.50.25,02022050,020220,02,Rib cuts,,,,,0.0
0202.20.50.35,02022050,020220,02,Chuck cuts,,,,,0.0
0202.20.50.45,02022050,020220,02,Loin cuts,,,,,0.0
0202.20.50.90,02022050,020220,02,Other,,,,,0.0
0202.20.80.00,02022080,020220,02,Other ,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 5.2% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",9903.88.15,List 4A,7.5
0202.30,,,,Boneless:,,,,,0.0
,,,,Described in general note 15 of the tariff schedule and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0202.30.02.00,02023002,020230,02,High-quality beef cuts,4%,"Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.30.04.00,02023004,020230,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.30.06.00,02023006,020230,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
,,,,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions:,,,,,0.0
,,,,Processed:,,,,,0.0
0202.30.10.00,02023010,020230,02,High-quality beef cuts,4%,"Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.30.30.00,02023030,020230,02,Other,10%,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.30.50,02023050,020230,02,Other,4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0202.30.50.15,02023050,020230,02,Frozen boneless veal cuts,,,,,0.0
,,,,Other:,,,,,0.0
0202.30.50.25,02023050,020230,02,Rib cuts,,,,,0.0
0202.30.50.35,02023050,020230,02,Chuck cuts,,,,,0.0
0202.30.50.45,02023050,020230,02,Loin cuts,,,,,0.0
0202.30.50.55,02023050,020230,02,Brisket cuts,,,,,0.0
0202.30.50.65,02023050,020230,02,Hip cuts,,,,,0.0
0202.30.50.75,02023050,020230,02,Flank or plate cuts,,,,,0.0
0202.30.50.85,02023050,020230,02,Other,,,,,0.0
0202.30.80.00,02023080,020230,02,Other ,26.4%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 5.2% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",9903.88.15,List 4A,7.5
0203,,,,"Meat of swine, fresh, chilled, or frozen:",,,,,0.0
,,,,Fresh or chilled:,,,,,0.0
0203.11.00.00,02031100,020311,02,Carcasses and half-carcasses,Free,,9903.88.15,List 4A,7.5
0203.12,,,,"Hams, shoulders and cuts thereof, with bone in:",,,,,0.0
0203.12.10,02031210,020312,02,Processed,1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0203.12.10.10,02031210,020312,02,Hams and cuts thereof,,,,,0.0
0203.12.10.20,02031210,020312,02,Shoulders and cuts thereof,,,,,0.0
0203.12.90,02031290,020312,02,Other,Free,,9903.88.15,List 4A,7.5
0203.12.90.10,02031290,020312,02,Hams and cuts thereof,,,,,0.0
0203.12.90.20,02031290,020312,02,Shoulders and cuts thereof,,,,,0.0
0203.19,,,,Other:,,,,,0.0
0203.19.20,02031920,020319,02,Processed,1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0203.19.20.10,02031920,020319,02,Spare ribs,,,,,0.0
0203.19.20.90,02031920,020319,02,Other,,,,,0.0
0203.19.40,02031940,020319,02,Other,Free,,9903.88.15,List 4A,7.5
0203.19.40.10,02031940,020319,02,Bellies,,,,,0.0
0203.19.40.90,02031940,020319,02,Other,,,,,0.0
,,,,Frozen:,,,,,0.0
0203.21.00.00,02032100,020321,02,Carcasses and half-carcasses,Free,,9903.88.15,List 4A,7.5
0203.22,,,,"Hams, shoulders and cuts thereof, with bone in:",,,,,0.0
0203.22.10.00,02032210,020322,02,Processed,1.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.15,List 4A,7.5
0203.22.90.00,02032290,020322,02,Other,Free,,9903.88.15,List 4A,7.5
0203.29,,,,Other:,,,,,0.0
0203.29.20.00,02032920,020329,02,Processed,1.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",9903.88.03,List 3,25.0
0203.29.40.00,02032940,020329,02,Other,Free,,9903.88.03,List 3,25.0
0204,,,,"Meat of sheep or goats, fresh, chilled or frozen:",,,,,0.0
0204.10.00.00,02041000,020410,02,"Carcasses and half-carcasses of lamb, fresh or chilled",0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
,,,,"Other meat of sheep, fresh or chilled:",,,,,0.0
0204.21.00.00,02042100,020421,02,Carcasses and half-carcasses ,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.22,,,,Other cuts with bone in:,,,,,0.0
0204.22.20,02042220,020422,02,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.22.20.10,02042220,020422,02,Shoulders,,,,,0.0
0204.22.20.20,02042220,020422,02,Legs,,,,,0.0
0204.22.20.30,02042220,020422,02,Loins,,,,,0.0
0204.22.20.90,02042220,020422,02,Other,,,,,0.0
0204.22.40.00,02042240,020422,02,Other ,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.23,,,,Boneless:,,,,,0.0
0204.23.20.00,02042320,020423,02,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.23.40.00,02042340,020423,02,Other ,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.30.00.00,02043000,020430,02,"Carcasses and half-carcasses of lamb, frozen",0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
,,,,"Other meat of sheep, frozen:",,,,,0.0
0204.41.00.00,02044100,020441,02,Carcasses and half-carcasses ,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.42,,,,Other cuts with bone in:,,,,,0.0
0204.42.20,02044220,020442,02,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.42.20.10,02044220,020442,02,Shoulders,,,,,0.0
0204.42.20.20,02044220,020442,02,Legs,,,,,0.0
0204.42.20.30,02044220,020442,02,Loins,,,,,0.0
0204.42.20.90,02044220,020442,02,Other,,,,,0.0
0204.42.40.00,02044240,020442,02,Other ,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.43,,,,Boneless:,,,,,0.0
0204.43.20.00,02044320,020443,02,Lamb,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.43.40.00,02044340,020443,02,Other ,2.8¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",9903.88.15,List 4A,7.5
0204.50.00.00,02045000,020450,02,Meat of goats,Free,,9903.88.15,List 4A,7.5
0205.00.00.00,02050000,020500,02,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",Free,,9903.88.15,List 4A,7.5
0206,,,,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen:",,,,,0.0
